subject,condition,amplitude,tmax,rt,n_targets,n_hit,n_miss,n_distractors,n_fa,n_cr,isi_power,oddball_power,powerSum
023,acc_oddball,1.12598161074762,1066.66666666667,0.461842054403853,146,125,21,654,3,651,2.52716489250054,3.65037441890952,6.17753931141006
027,acc_oddball,1.24798155395241,1700,0.538353951290594,146,86,60,654,12,642,2.41689807176629,3.06521383642557,5.48211190819186
028,acc_oddball,0.189163032265287,1266.66666666667,0.61596213859555,144,57,87,656,32,624,1.25525053414501,2.04754902611386,3.30279956025887
029,acc_oddball,0.750208767138094,1700,0.604774614767839,146,97,49,654,16,638,-0.527234625505094,2.0514680223458,1.52423339684071
030,acc_oddball,1.23180363482162,1766.66666666667,0.527870719360587,145,123,22,655,10,645,1.78121274730322,3.83200080256524,5.61321354986846
031,acc_oddball,0.687346069435403,1666.66666666667,0.503414875308942,143,126,17,657,12,645,5.34186579562022,0.750582435833587,6.09244823145381
032,acc_oddball,0.427005716073183,1066.66666666667,0.600984889879243,145,86,59,655,56,599,1.25350772132933,2.07211916453685,3.32562688586618
034,acc_oddball,0.482463793897873,2400,0.509735339657009,135,78,57,665,4,661,3.5457691369595,-0.428975929219573,3.11679320773992
036,acc_oddball,0.539508868314377,1433.33333333333,0.513680463050851,140,61,79,660,25,635,2.25470375647835,2.39941217212466,4.654115928603
037,acc_oddball,0.691511247522531,1166.66666666667,0.498866799483949,141,72,69,659,7,652,0.552700892447421,-0.512575383948608,0.0401255084988126
038,acc_oddball,0.313657994755119,1633.33333333333,0.522690464549907,148,107,41,652,1,651,1.23465232005157,3.15069185575071,4.38534417580228
039,acc_oddball,0.429461951653082,1033.33333333333,0.471121705877984,145,123,22,655,43,612,2.79471713430922,0.614659203059256,3.40937633736847
053,acc_oddball,0.921678188349547,1700,0.509058358226163,142,84,58,658,7,651,3.23819200508812,0.393284134559916,3.63147613964803
054,acc_oddball,0.610583028748938,900,0.431372952885004,150,138,12,650,2,648,1.25479903705381,2.05953936546884,3.31433840252266
055,acc_oddball,1.09551624310181,1166.66666666667,0.497616750378051,141,124,17,659,64,595,2.63268345170178,2.93386341769574,5.56654686939752
056,acc_oddball,0.549691062092932,1066.66666666667,0.479524329992138,141,108,33,659,11,648,0.177254073116343,0.567882167877152,0.745136240993495
057,acc_oddball,0.606307150301259,1066.66666666667,0.527480709778266,141,108,33,659,13,646,3.26830194401335,2.49310803990625,5.7614099839196
058,acc_oddball,0.795940642762977,1433.33333333333,0.577342178141628,149,99,50,651,25,626,0.137786772686558,0.279713384168982,0.41750015685554
059,acc_oddball,0.706759841518819,2100,0.661444202696381,146,56,90,654,16,638,1.08520595596787,1.41612429307607,2.50133024904394
060,acc_oddball,1.43764588652511,1566.66666666667,0.497463323371007,141,105,36,659,8,651,5.41816960694022,5.02003820493349,10.4382078118737
061,acc_oddball,1.08570611065712,1466.66666666667,0.551656813202365,147,95,52,653,18,635,3.57174239226416,1.93185862167865,5.50360101394282
063,acc_oddball,1.55555261077349,1833.33333333333,0.58730658062708,145,86,59,655,0,655,3.50880959229508,5.0150498163747,8.52385940866978
064,acc_oddball,0.45217925700044,1100,0.480484786569529,138,90,48,662,35,627,1.03300138865522,1.70690991713356,2.73991130578878
065,acc_oddball,0.566784304082495,1000,0.407144236291267,146,141,5,654,1,653,2.62662849924977,0.555396979347317,3.18202547859708
067,acc_oddball,1.08545010089259,1366.66666666667,0.501427399558856,143,108,35,657,5,652,4.83873283398617,5.22452352675484,10.063256360741
068,acc_oddball,1.05840800571129,1166.66666666667,0.542944323352363,147,105,42,653,2,651,5.00182424579773,4.00064357246787,9.0024678182656
069,acc_oddball,0.744861264139934,1466.66666666667,0.431814958358154,148,120,28,652,33,619,5.10961578841621,0.137520300538864,5.24713608895507
070,acc_oddball,0.987247133264149,1833.33333333333,0.467651202145805,143,95,48,657,15,642,3.94955093751502,-0.854991007494328,3.09455993002069
071,acc_oddball,0.721510588226871,1300,0.477328078542766,145,103,42,655,44,611,1.26294944433187,1.59755674261892,2.86050618695079
072,acc_oddball,0.145623990992337,900,0.505730320202842,140,84,56,660,22,638,1.51289280602381,-0.364188236581963,1.14870456944184
073,acc_oddball,1.06352895273199,1466.66666666667,0.667411033644688,147,48,99,653,10,643,-0.0352942608444444,3.66212990686959,3.62683564602514
075,acc_oddball,0.52206689030211,933.333333333333,0.461755115199199,142,106,36,658,40,618,0.376555534847306,3.29925792823071,3.67581346307802
077,acc_oddball,0.412502713731371,1033.33333333333,0.519643231383834,148,79,69,652,21,631,-0.213694555570801,0.406816111228503,0.193121555657703
