subject,condition,amplitude,tmax,rt,n_targets,n_hit,n_miss,n_distractors,n_fa,n_cr,isi_power,oddball_power,powerSum
075,acc_oddball,0.513102766041002,933.333333333333,0.461755115199199,142,106,36,658,40,618,0.376555534847308,3.29925792823071,3.67581346307802
077,acc_oddball,0.43126645526155,1033.33333333333,0.519643231383834,148,79,69,652,21,631,-0.2136945555708,0.406816111228503,0.193121555657703
078,acc_oddball,0.977349549694835,1700,0.510430424167391,143,85,58,657,6,651,4.49787595585634,3.27331132752669,7.77118728338304
079,acc_oddball,0.932497838071682,1000,0.462288364866569,145,127,18,655,3,652,4.58480367451022,4.60031675157834,9.18512042608855
080,acc_oddball,0.335508208112618,1933.33333333333,0.571399441315757,149,52,97,651,131,520,0.956929200713414,-0.812701174038777,0.144228026674636
081,acc_oddball,0.40456720270627,1366.66666666667,0.649855303797477,146,143,3,654,11,643,1.25574535479339,1.82533206085803,3.08107741565142
082,acc_oddball,0.804227110074779,1933.33333333333,0.56671739976709,138,105,33,662,58,604,4.71456456280921,2.14130940462732,6.85587396743653
083,acc_oddball,0.666426109481956,1600,0.475027546407391,137,106,31,663,10,653,4.54632458406348,0.611847975693189,5.15817255975667
084,acc_oddball,0.199813694144409,1533.33333333333,0.609384293736118,143,41,102,657,45,612,1.25555673241278,2.05185169244645,3.30740842485923
086,acc_oddball,0.424677070024678,766.666666666667,0.367304868124716,146,138,8,654,21,633,2.66217509850793,2.68312254886604,5.34529764737396
087,acc_oddball,0.173581955696343,900,0.280071628762862,142,142,0,658,548,110,4.44985435368166,2.20487838335926,6.65473273704092
088,acc_oddball,1.057397489012,1266.66666666667,0.337041257491211,142,142,0,658,7,651,2.61816212350328,1.86795284029657,4.48611496379985
089,acc_oddball,0.833937153529175,1633.33333333333,0.498369125310481,134,56,78,666,13,653,-0.874817872093459,0.0782681057083169,-0.796549766385142
090,acc_oddball,1.27473952157265,1300,0.614376304774649,144,63,81,656,5,651,2.60189758054637,2.68115190750947,5.28304948805584
092,acc_oddball,0.681194467040105,1033.33333333333,0.394093996752053,145,130,15,655,1,654,-0.872124112031237,-0.71497355401188,-1.58709766604312
093,acc_oddball,0.69877247327252,1566.66666666667,0.453651951893384,139,74,65,661,2,659,0.78412263223257,3.46286249028253,4.2469851225151
094,acc_oddball,1.85028379889898,1766.66666666667,0.506288494694593,144,92,52,656,12,644,0.231663632679191,5.71591709765526,5.94758073033445
095,acc_oddball,0.414915758809753,1000,0.574290100477058,145,87,58,655,36,619,0.653018291442756,0.625661668701196,1.27867996014395
096,acc_oddball,0.969461352590877,1600,0.428939370092537,139,105,34,661,3,658,2.65158764173051,3.00605910605769,5.6576467477882
097,acc_oddball,0.536517250046459,1400,0.539360222628836,150,109,41,650,6,644,4.48849362648044,1.14690974057349,5.63540336705394
100,acc_oddball,0.30539572472461,1033.33333333333,0.495311823973229,143,101,42,657,21,636,3.68720567612967,-0.609993501719292,3.07721217441038
101,acc_oddball,0.766473352724035,2100,0.558976587427177,144,85,59,656,17,639,3.37816246550339,1.49778931699352,4.87595178249691
102,acc_oddball,0.649190970996205,1666.66666666667,0.518015815866244,140,119,21,660,10,650,1.75225625001836,3.25080069511659,5.00305694513495
106,acc_oddball,0.252315382883919,1200,0.407158206342285,147,118,29,653,265,388,1.50527987092354,0.210080204893992,1.71536007581753
001,omission,0.845019972383185,1900,0.562967899408088,138,90,48,662,3,659,5.66215580573317,0.80157650873902,6.46373231447219
002,omission,0.606081142844778,933.333333333333,0,137,131,6,663,6,657,-1.2166907546672,5.00263161585698,3.78594086118978
003,omission,0.0664180080382324,66.6666666666667,0.58229570944992,142,122,20,658,13,645,-1.30507967787569,0.626637477028827,-0.678442200846859
005,omission,0.597366622158852,2900,0.497179164908205,145,90,55,655,8,647,2.05285594556469,2.82904868889549,4.88190463446018
008,omission,0.58444852167382,1466.66666666667,0.47228018535329,146,133,13,654,2,652,3.84947848209552,2.01384236510383,5.86332084719935
009,omission,-0.0526413905597175,900,0.611342986231466,140,95,45,660,9,651,2.24315947400485,1.17997874847927,3.42313822248412
010,omission,0.231569389241803,733.333333333333,0.528486125493662,145,81,64,655,7,648,-0.538226899892812,2.79562733253073,2.25740043263792
011,omission,0.0727544856854387,633.333333333333,0.43187144770616,140,119,21,660,3,657,4.32512399004086,1.11849440367795,5.44361839371881
012,omission,0.530408876768725,1066.66666666667,0.394075941127895,143,133,10,657,2,655,5.75991525740491,4.79183853798565,10.5517537953906
013,omission,0.0401050823605277,33.3333333333333,0.703034835260041,139,50,89,661,22,639,-1.55332560450443,0.608077606551118,-0.945247997953307
